stem,bad,H,W,covIoU,cut,drift_top,drift_bot,arc_ratio,kmax_mid,kmax_env,p_top,p_bot,q_top,q_bot
150,0,480,240,0.8709677419354839,1,0.016666666666666666,0.10833333333333328,1.1268034308327932,4.428737138712261,5.409580997295141,False,False,True,False
151,0,480,240,0.9600000000000001,1,0.010416666666666666,0.029166666666666674,0.971636612445896,3.394613590542903,3.6685067737580437,True,False,False,False
152,0,480,240,0.9665970772442588,1,0.016666666666666666,0.01666666666666672,0.9567158835629885,2.2798266401639573,2.765572223860401,True,True,False,False
153,0,480,240,1.0,1,0.0,0.0,0.9946704831145766,2.1810340994248056,2.5184347708667016,True,True,True,True
154,0,480,240,0.9108695652173913,1,0.05,0.03541666666666665,0.905287800368689,2.1816110516893534,3.2388885344124194,True,False,False,False
155,0,480,240,0.8308977035490606,1,0.0,0.16874999999999996,1.1354431265299514,5.15616293452336,6.343629329869509,True,False,True,True
156,0,480,240,0.8392070484581499,0,0.012499999999999997,0.13958333333333328,1.1532138465524517,2.2249350910153205,2.637654849670228,False,False,False,False
157,0,480,240,0.9603340292275573,1,0.016666666666666666,0.022916666666666696,0.950829501188409,1.7669228879214807,1.73791551842327,True,True,False,False
158,0,480,240,0.9916492693110648,1,0.0,0.008333333333333304,0.9871195348087718,1.5429802061225675,2.0618953384443013,True,True,True,False
159,0,480,240,0.8300220750551875,0,0.04791666666666667,0.11250000000000004,1.1829140554238278,4.689935513985005,4.696494798385801,False,False,False,False
160,0,480,240,0.9874739039665971,1,0.0,0.012499999999999956,0.9801827141330517,3.952431613433859,4.050941895809081,True,True,True,False
161,0,480,240,0.9874739039665971,1,0.0125,0.0,1.0005842992612726,3.0554874443279014,4.350030161637748,True,True,False,True
162,0,480,240,0.8392484342379959,1,0.0,0.16041666666666665,1.155443835204767,3.0435865201496033,3.22560963441046,True,False,True,True
163,0,480,240,0.9723502304147466,0,0.020833333333333336,0.004166666666666652,0.9900074461083707,2.5723675349042936,3.177823842532422,False,False,False,False
164,0,480,240,0.9081419624217119,1,0.03333333333333333,0.05833333333333335,0.896904328480906,1.7028780931941927,2.5813894433859272,True,True,False,False
165,0,480,240,0.9539748953974896,1,0.008333333333333333,0.03749999999999998,0.9479491749203802,0.5401112986890332,0.7715382621579896,False,True,False,False
166,0,480,240,0.9478079331941545,1,0.0,0.05208333333333337,0.9328315154053464,3.4122619334535176,3.9035331433323415,True,True,True,False
167,0,480,240,0.8632478632478633,1,0.014583333333333334,0.11875000000000002,1.1213544397929673,1.9074969194734313,2.1423541244357667,True,False,False,False
168,0,480,240,0.8950892857142858,0,0.039583333333333325,0.05833333333333324,0.8944859730289316,1.589511858676514,2.524027299048023,False,False,False,False
169,0,480,240,0.8744493392070485,0,0.006250000000000002,0.11250000000000004,1.0997180817131478,3.888895800748657,3.944663517714604,False,False,False,False
170,0,480,240,0.9460093896713613,0,0.043750000000000004,0.004166666666666763,0.9474321898309204,1.0949862325152862,1.5981517410930928,False,False,False,False
171,0,480,240,0.8831168831168832,1,0.0125,0.09999999999999998,1.1235550443290774,2.6798544772296777,3.359321411389516,True,False,False,False
172,0,480,240,0.9352818371607515,1,0.020833333333333332,0.043749999999999956,0.9325824647196939,1.2290809592648728,2.059196659580585,True,True,False,False
173,0,480,240,0.8538812785388127,1,0.10833333333333334,0.025000000000000022,0.8659156918881199,3.533020257305227,4.361745614465063,True,False,False,False
174,0,480,240,0.9383259911894272,0,0.035416666666666666,0.022916666666666696,0.975040319520721,0.9340992913536869,1.433913047095447,False,False,False,False
175,0,480,240,0.9460043196544277,1,0.014583333333333337,0.03749999999999998,0.9809612154836059,1.16763142260035,2.532634752722263,False,True,False,False
176,0,480,240,0.9137931034482758,1,0.05,0.033333333333333326,0.9197800389732483,2.9682173346222305,3.341157460398415,True,False,False,False
177,0,480,240,0.997872340425532,1,0.002083333333333333,0.0,0.9777531521461077,2.5811202508459794,3.2127992176270643,False,True,False,True
178,0,480,240,0.9131355932203389,1,0.004166666666666666,0.08125000000000004,0.8983085180069607,2.5449757177461856,3.2118034678168956,False,True,False,False
179,0,480,240,0.9380530973451328,0,0.02916666666666667,0.029166666666666674,1.0009789544669778,3.7405843930205296,3.852765369187807,False,False,False,False
180,0,480,240,0.9010526315789474,1,0.05416666666666667,0.043749999999999956,0.9003325479012827,2.225310340744891,2.5743283263237076,False,True,False,False
181,0,480,240,0.9665970772442589,1,0.022916666666666665,0.01041666666666663,0.94963150596738,1.6795733320385313,2.6227226294928894,True,True,False,False
182,0,480,240,0.8678038379530918,1,0.014583333333333334,0.11458333333333326,1.1129987067355922,2.232210704245554,2.6878159149313463,True,False,False,False
183,0,480,240,0.954070981210856,1,0.010416666666666666,0.03541666666666665,0.9590481366605224,2.4096700653220204,3.100616684125168,True,True,False,False
184,0,480,240,0.8893528183716075,1,0.058333333333333334,0.05208333333333337,0.8952721758027092,2.772534046088061,2.9317482839918036,True,True,False,False
185,0,480,240,0.9238900634249471,1,0.037500000000000006,0.03749999999999998,0.9888410883272304,1.0212518490450473,2.095522067631222,False,True,False,False
186,0,480,240,0.8648648648648648,0,0.014583333333333337,0.11041666666666672,1.12693026410431,2.052447766338715,2.6235866827924603,False,False,False,False
187,0,480,240,0.9469214437367305,1,0.029166666666666664,0.022916666666666696,1.0055954253056423,2.506675590937664,4.243535879427643,False,True,False,False
188,0,480,240,0.9752808988764046,0,0.006249999999999999,0.016666666666666607,0.9821638301434463,2.7437274847612474,4.214506239125314,False,False,False,False
189,0,480,240,0.8596881959910914,1,0.04375,0.08750000000000002,0.8219864147542698,1.523326992277884,3.2302666795867143,True,False,False,False
190,0,480,240,0.8861047835990887,0,0.037500000000000006,0.06666666666666665,1.1149375743601277,2.901508324245162,3.0200859025743014,False,False,False,False
191,0,480,240,0.9470046082949308,0,0.012500000000000004,0.03541666666666665,0.9258262093218536,3.43698868171578,4.671061879456312,False,False,False,False
192,0,480,240,0.8546637744034707,1,0.0125,0.12708333333333333,1.0950412291373255,4.308144751580738,4.1900073228337025,True,False,False,False
193,0,480,240,0.9791231732776617,1,0.0,0.02083333333333337,0.9929652117172578,0.8358110368500653,2.407318694933886,True,True,True,False
194,0,480,240,0.8971291866028708,0,0.05208333333333333,0.03749999999999998,1.0526376690553032,4.552959397385199,5.588024859435878,False,False,False,False
195,0,480,240,0.9076923076923076,0,0.037500000000000006,0.050000000000000044,1.0937354430481177,1.2903705858661574,2.3355608279354207,False,False,False,False
196,0,480,240,0.8881278538812786,0,0.010416666666666671,0.09166666666666656,1.1018644607291013,2.5702221543168235,3.2880291589583703,False,False,False,False
197,0,480,240,0.9206680584551149,1,0.041666666666666664,0.03749999999999998,0.910451180417909,1.1198744694539653,1.2501210258132598,True,True,False,False
198,0,480,240,0.8903225806451613,0,0.008333333333333333,0.09791666666666665,1.099686848047379,2.5803740148944248,2.99480056943942,False,False,False,False
199,0,480,240,0.9375,1,0.01666666666666667,0.043749999999999956,0.9414083468117244,2.538314731956188,2.6676616412517564,False,True,False,False
